Micmacs (film),Movie,2010,"A young boy named Bazil loses his military father, who is blown up while attempting to defuse a land mine in the Western Sahara.  Thirty years later, Bazil (Dany Boon) is working in a video rental shop in Paris when a stray bullet from a shoot-out in the street enters his forehead.  Doctors save him but decide against removing the bullet, though it may kill him at any moment, for fear of damaging his brain further.  Bazil returns to his workplace to find that he has been replaced. As he leaves, his replacement gives him a shell casing that she found from the bullet that had struck him.Bazil, who has miming and sign language talents, becomes a homeless busker until he is taken in by a man named Slammer (Jean-Pierre Marielle) to Tire-Larigots, a shelter carved under a mountain of recycling material.  Bazil is befriended by the other scavenging dwellers: Elastic Girl (Julie Ferrier), a contortionist, Mama Chow (Yolande Moreau), who feeds and mothers the crew, Remington (Omar Sy) a former ethnographer from Africa who speaks entirely in old-fashioned language clichés, Buster (Dominique Pinon), a former human cannonball, Tiny Pete (Michel Crémadès), an artist who designs moving sculptures from scavenged trash, and Calculator (Marie-Julie Baup), a young woman who measures and calculates things with a glance.  Slammer himself is a former convict who miraculously survived an execution by guillotine.While scavenging for trash, Bazil discovers the offices and factories of the firms that manufactured the landmine that orphaned him and the bullet he was shot with, on opposite sides of a street. He enters the latter to ask for compensation but is thrown out violently on orders of CEO Nicolas Thibault de Fenouillet.  He then infiltrates the other company and manages to hear a speech by its CEO, François Marconi.Bazil follows Marconi home and hangs a microphone down his chimney. He hears a phone conversation arranging a meeting between Marconi and associates of Omar Boulounga, an African dictator seeking arms for an upcoming violent conflict. Mama Chow demands to know what Bazil is up to and the crew decides to help him exact revenge on the two arms dealers. They first incapacitate Bouloungas men by planting drugs on them in an airport.Remington, claiming to be Bouloungas right-hand man, meets with De Fenouillet and proposes the same deal which was offered to Marconi. Later, Remington calls each of Marconi and De Fennouillet and angrily cancels the deal. He tells Marconi that he will be dealing with De Fennouillet, and tells De Fennouillet that he will be dealing with Marconi. The two CEOs are furious and declare war on each other. Bazil and his friends break into Marconis house and steal and replace his luxury cars, and steal De Fenouillets collection of body-part relics from historical persons. They also steal and destroy a truck full of bombs from Marconis plant. Marconi assumes that De Fennouillet is responsible, and arranges to sabotage a machine causing a massive explosion in De Fennouillets factory. Next, Elastic Girl breaks into Marconis apartment searching for blackmail material while Bazil waits and listens on the roof.Marconi arrives unexpectedly, and Elastic Girl is forced to hide in the refrigerator. De Fenouillet sends an armed team to attack Marconi, but Bouloungas men arrive first and take him hostage. Bouloungas men are about to execute Marconi when they are shot by De Fennouillets men.  De Fenouillet is, in turn, about to murder Marconi when a henchman captures Bazil on the roof and brings him down.  The two executives recognise him and figure out what has happened.  They decide to take Bazil to a safe house in order to question him.  Elastic Girl comes out of her hiding place, and calls in the rest of the crew to rescue Bazil. After a car chase through Paris, Bazil is saved and Marconi and De Fennouillet are captured. The two CEOs are bound and hooded, and they hear a long plane flight followed by a ride in a car. When they are allowed to see again, they are in the middle of the desert. In a scene inspired by Sergio Leones Once Upon a Time in the West, De Fennouillet is sitting on Marconis shoulders with a live grenade in his mouth, while Marconi stands on a live land mine. A small crowd wearing desert outfits sit watching them, holding photographs of landmine victims. The men beg for mercy and confess to supplying arms to the IRA, ETA, and Darfur combatants.Marconi and De Fenouillet fall and discover that the grenade and mine are not armed. The small audience is revealed to be Bazil and his friends in disguise, who have been recording the event with a video camera. In a flashback inspired by Brian De Palmas Mission: Impossible, we see that Bazil and his friends simulated the entire plane flight with various sound effects, and the desert setting is simply a clearing in a Paris suburb. Bazil and Calculator upload their video to YouTube, and Marconi and De Fenouillet are publicly disgraced. Bazil and Elastic Girl become a couple."
The Greatest (2009 film),Movie,2010,"Eighteen-year-old Bennett Brewer and Rose have sex together, the only time either of them have ever done so. When Bennett is killed when a truck crashes into his car while he is parked in the middle of the road at night, his family feel like they cannot go on. His mother Grace and his father Allen get an unexpected visitor knocking at their door; it turns out to be Rose, who is pregnant with Bennetts child. As the story develops, Bennetts younger brother Ryan is introduced and he is grieving the fact he did not say a final good bye to his brother. One sees the true relationships of the family as the story comes together, Grace waits at the bed of Jordan Walker, the man driving the truck which collided with Bennetts car in the crash. She is waiting for him to wake so she can ask him what occurred during the 17 minutes between the crash and his death. After a while, she finds out the truth, but is disappointed with what she hears. In the last moments, Bennett was not calling for his mother – he was calling to Rose asking Walker to make sure that she was safe.Allen hires a cleaner to clean the house, but when Grace finds out she is terribly angry, claiming their son has been washed away. Allen then appears to be having a heart attack, whilst Grace carries on shouting until she realises what is happening. At the hospital bed, shortly after Grace returns from finding out about Bennetts final minutes, Allen breaks down crying, saying that he had been holding in all his grief and upset, and that he could have done something to prevent the crash and his sons death.Meanwhile, Rose has overheard Grace saying Rose should have died instead of Bennett, so she leaves and seeks the help of her own mother. She soon realises that all her mother is bothered about is trying to get money from the Brewers, claiming it will help her. The Brewers try to find Rose and they find her in labor and persuade her to go to the hospital and, while in the car on the way, she seeks to find out everything about Bennett she did not already know.When the film draws to a close, one sees Rose and the baby, a girl called Ruby, Graces favourite girls name. The film ends with the moment Bennett spoke to Rose earlier on the day he died."
Despicable Me (2010 film),Movie,2010,"Longtime supervillain Gru has his pride hurt when an unknown rival steals the Great Pyramid of Giza and replaces it with an inflatable decoy. He, his elderly assistant Dr. Nefario, and his army of Minions concoct a plan to steal the Earths Moon. Dr. Nefario worries that the plan will be too expensive, so Gru applies for a loan from Mr. Perkins, the director of the Bank of Evil, who orders Gru to steal a shrink ray first. While at the bank, Gru meets Perkins son, Vector, a budding supervillain whom Gru learns is behind the Pyramid heist. Gru and two of his Minions successfully steal the shrink ray from a research base, only for Vector to intercept them and steal it for himself. After a series of failed attempts to steal back the shrink ray from Vectors fortress, Gru notices three orphan girls—Margo, Edith, and Agnes—being allowed into the fortress to sell Vector cookies. Gru disguises himself as a dentist and adopts the girls, planning to use them in his plot to reclaim the shrink ray. He eventually manages to use the girls to distract Vector long enough for him to steal back the shrink ray, but the girls insist upon stopping at an amusement park on the way home. Gru plans to abandon them there, but finds himself enjoying his time with the girls, and they begin to bond. At home, Gru shows Mr. Perkins the shrink ray via a video call, but when the girls interrupt the call, Mr. Perkins  refuses the loan. A heartbroken Gru tells the Minions that the bank is no longer funding the project. Seeing how sad Gru is, the girls give him their piggy bank, and the Minions pool all their resources to raise the funds needed for the project. Dr. Nefario calculates that they will have to go for the Moon when it is closest to Earth, but the day is the same as the girls ballet recital. Believing the girls have become too much of a distraction to Gru and the project, he calls the orphanage director, Miss Hattie, and tells her to take the girls back. Meanwhile, Mr. Perkins informs Vector of Grus possession of the shrink ray, prompting Vector to take action by kidnapping the girls. After successfully shrinking and stealing the Moon, Gru tries to make it to the ballet recital, only to learn of Vectors plot. Hurrying to the fortress, Gru hands over the Moon, but Vector refuses to hand over the girls and flees in his aircraft. Meanwhile, Dr. Nefario and the Minions discover that the effects of the shrink ray are only temporary: the larger the mass of an object, the faster its effects wear off, causing it to return to its normal size. Gru and his allies rescue the girls before the Moon returns to its normal size and launches itself into orbit, stranding Vector. Gru reclaims custody of the girls and they celebrate with a special recital that becomes a dance party."
Little Fockers,Movie,2010,"Five years after the events of the previous film, Gaylord ""Greg"" Focker is preparing to celebrate his twins Samantha and Henrys fifth birthday party. Things seem to go awry when Gregs father-in-law Jack Byrnes visits. Recently, he has been diagnosed with a heart condition and become embittered by his daughter Debbies divorce from her husband Bob (their marriage was the social event in the first film and how he and Greg met), for cheating on her with a nurse. Jacks original plan was to declare Bob his successor as head of the Byrnes family, but he decides to pass the role to Greg, naming him ""The Godfocker"". Despite Greg reluctantly accepting the role, Jack resumes his spying on him and begins to suspect him of infidelity when he sees him with drug representative Andi Garcia, who openly flirts with him. This with the presence of Sustengo erection pills in Gregs house prompts Jack to think he is no longer sexually attracted to Pam, his wife. Furthermore, he starts to doubt his ability to provide for his family when hes initially reluctant to send his children to a private school.During a medical conference promoting Sustengo, Greg meets Bob at a bar, who tells him of Jacks original intention to name him as successor, ""The Bobfather"". His relief and happiness at leaving Jacks family makes Greg slightly uncomfortable. Meanwhile, Jack speaks to Pam about the possibility of divorcing Greg and renewing her relationship with her ex-fiancé, Kevin Rawley. Eventually, following a row at a clinic, Greg escapes to his and Pams unfinished new house, where Andi turns up. She tries to cheer him up with Chinese food and wine, but she drinks too much (also taking many erection pills), making an eccentric, extremely aggressive sexual pass on Greg. Jack, looking for him to apologize and bring him home, pulls up to the house and sees through the window what looks like Greg and Andi having sex. Although, he is actually trying to rebuff Andis advances. Disgusted, Jack leaves, and tells Dina and Pam that he couldnt find him.Gregs parents, Bernie and Roz, rejoin the family at the twins birthday party the next day. Enraged at Gregs apparent infidelity, Jack engages him in a physical fight, despite Greg insisting that Andi was drunk and he was rejecting her. The fight ends with Jack having a heart attack and collapsing. Greg quickly takes charge of the situation, looking after Jack. As paramedics take him away, Jack quietly admits that he believes him after observing his carotid artery remained stable while Greg was proclaiming his innocence. Impressed with his integrity and quick thinking, Jack approves of him to be ""The Gregfocker.""Four months later, on Christmas Day, Greg and Pams parents come to spend Christmas with them in their new house. Gregs parents (being Jewish) give Jack a kippah as a present, informing him that while they were nursing him back to health they traced his family roots and discovered that he is part Jewish (which does not impress Jack). Bernie informs Greg and Pam that he and Roz have sold their Miami home and are moving to Chicago, only two houses down from theirs. Jack and Dina decide they will move too, because they also want to be close to their grandchildren. Greg and Pam try to wean their respective parents off the idea. During the mid-credits scene, Jack views YouTube videos of Greg publicly mocking Jack during a speech promoting Sustengo."
Vampires Suck,Movie,2010,"Edward Sullen strips off his clothes during the saint Salvador festival while Becca Crane rushes to stop him. While running through a fountain, she accidentally splashes water around, causing people to party in the fountain and thus stopping Becca. In a flashback, Becca Crane moves to the Pacific Northwestern town of Sporks to live with her clueless father, Sheriff Frank, after her mother starts an affair with Tiger Woods. Meanwhile, a killing spree is attributed to the Canadians, but the real perpetrators are a group of vampires usually mistaken for the Black Eyed Peas. Becca quickly befriends many students at her new high school, including Jennifer. She is also intrigued by the mysterious and aloof Edward Sullen, whose odd behavior perplexes her during their biology class.Later, when Becca is nearly struck by a van in the school parking lot, Edward stops the vehicle by thrusting another student in the vans way. Becca later ""dreams"" Edward was in her room; in truth he is, but is repulsed by things she does while sleeping. After much research and thought, Becca confronts Edward and tells him she thinks that he is one of the Jonas Brothers. Edward corrects her, saying he is a vampire but that he only consumes animal blood. Despite the danger of being around a vampire, Becca agrees to go to prom with Edward. Later, Becca and Edward kiss passionately in her room. Becca attempts to seduce Edward into having sex, but he abstains.On Beccas birthday, Edward introduces her to his vampire family. While unwrapping a gift, Becca gets a paper cut. Edwards brother Jeremiah attempts to bite her, but is knocked away. To keep his family away from Becca, Edward distracts them and takes her out to the woods. He then proceeds to break up with Becca, who throws a tantrum after he leaves. Much to her expectance, Becca is attacked by three nomadic vampires, but Edward intervenes and saves her.Edwards departure leaves Becca heartbroken for months, but she is comforted by her deepening friendship with her childhood friend Jacob White. When Becca is accosted in the woods by the nomadic vampires again, Jacob transforms into a Chihuahua as his werewolf pack arrives to save her. Meanwhile, Edward has moved to Rio and is now dating Lady Gaga to get over losing Becca. He is later informed by his sister Iris, via her gift of prophecy, that Becca killed herself. Edward becomes depressed and decides to provoke the ""Zolturi"", a powerful and narcissistic vampire coven, into killing him by exposing himself in the sunlight in front of humans, thus exposing the existence of vampires. Iris has another vision of Beccas survival as he leaves, but she is unable to warn him.Iris arrives at Beccas house, and tells her that she has to save Edward by showing him that she is still alive. To Beccas shock, the Zolturi are currently partying at the prom due to the St. Salvatore theme. Jacob appears and demands that Becca choose between him and Edward, but just before she announces her decision, he is distracted by a cat and runs off to chase it. Upon arriving at the prom, Becca is caught between the warring factions of Edward fangirls and Jacob fangirls. She is unable to reach Edward before he exposes himself, figuratively and literally. However, twilight occurs, followed by a new moon and an eclipse, concealing Edwards vampiric nature as Becca gets him to safety. Frank arrives to check on Becca, making her hopeful; however, he thinks supernatural creatures are the prom theme and leaves. After a fight between him and the Zolturi leader, Daro, Edward is forced to turn Becca into a vampire, at risk of being killed horribly. He agrees to do so only on the condition that she marry him, which she accepts.In the mid-credits scene, Edward is struck on the head by the leader of Jacobs fangirls. Edward survives the blow, and the girl is attacked by the newly vampirized Becca as the movie concludes."
Winnebago Man,Movie,2010,"The documentary starts with Steinbauers obsession with a widely circulated viral video featuring outtakes from an RV commercial shoot, centered on a cantankerous pitchman, Jack Rebney, who regularly becomes outraged and flustered, cursing in colorful mannerisms. Steinbauer researches the video and discovers that it had been circulating on VHS long before it appeared on the Internet. He tracks down the original crew of the video, who explain that the shoot was a particularly frustrating experience, and, as a result of the outtakes, Rebney got fired, and they never saw him again.With the help of a private detective, Steinbauer ultimately tracks down the infamous ""Winnebago Man"": Steinbauer visits Rebney at his home in a remote mountain area in California. Steinbauer is surprised to find Rebney to be calm, congenial, and articulate — in stark contrast to the angry, profane man on the famous video. Rebney claims to be indifferent and amused about the video and its popularity on the Internet. Steinbauer returns home disappointed.But soon, Rebney begins contacting Steinbauer, and admits that he had not been candid in their first encounter. He reveals that he has long been angry about the video and its notoriety because he does not want to be remembered that way. Steinbauer learns that Rebney was once a news broadcaster and editor who left the industry embittered by the decline in real news and the rise of opinion-based news and punditry; additionally, Rebney reveals that he now has strong political opinions that he wants to share. Rebney invites Steinbauer for a second visit, but before this takes place, local papers report that Rebney had gone missing for a time while taking a walk. When Steinbauer makes his second visit to Rebneys home, a now openly cantankerous Rebney explains that he is now blind.Rebney gives a series of often profane, but articulate, interviews to Steinbauer. He refuses to discuss personal matters, but instead wants to make political speeches about subjects that make him angry, such as Dick Cheney and Walmart. Eventually, Steinbauer convinces Rebney to attend the Found Footage Festival in San Francisco. There, fans have lined up for a sold-out screening of the original video featuring Rebney. The fans describe Rebneys positive impact on them. During the screening, the Festival organizers invite Rebney onstage as a special guest, where he wittily engages the audience. After the screening, Rebney meets several fans who request autographs and express to him how viewing the old footage cheers them up after a hard day.Later that night, Rebney muses to an old friend that his fans are more intelligent than he anticipated. The next day, the filmmakers and Rebneys friend drive him back home. There, Rebneys friend tells him, ""You made a lot of people happy this weekend."" Rebney replies by acknowledging that he takes some small degree of pride in how, for many people, he represents the human condition in the face of adversity."
Dogtooth (film),Movie,2010,"A couple, their adult son, and two adult daughters live in a fenced-in compound. The children have no knowledge of the outside world; their parents say they will be ready to leave once they lose a dogtooth, and that one can only leave safely by car. The children entertain themselves with endurance games, such as keeping a finger in hot water. They believe they have a brother on the other side of the fence to whom they throw supplies or stones. The parents reward good behavior with stickers and punish bad behavior with violence.The father pays a security guard at his factory, Christina, to come to the house and have sex with his son. Frustrated by the boys refusal to give her cunnilingus, Christina trades her headband with the elder daughter in exchange for oral sex from her. The elder daughter persuades the younger daughter to lick her shoulder by bartering the headband. Later, the younger daughter volunteers to lick the elder again. The elder has nothing to offer in exchange, but the younger does not mind and experiments by licking other body parts.The father visits a dog-training facility and demands to have his dog returned. The trainer refuses because the dog has not finished its training, and asks: ""Do we want an animal or a friend?""When the children are terrified by a stray cat in the garden, the son kills it with a pair of pruning shears. Deciding to take advantage of the incident, the father shreds his clothes, covers himself in fake blood, and tells his children that their unseen brother was killed by a cat, the most dangerous creature. After he teaches them to bark on all fours to fend off cats, the family holds a memorial service for the brother.Christina again barters for oral sex from the elder daughter. The daughter rejects her offer of hair gel and demands the Hollywood videotapes in her bag. She watches the films in secret and afterward recreates scenes and quotes their dialogue. When the father discovers the tapes, he beats her with one of them, then goes to Christinas flat and hits her with her VCR, cursing her future children to be corrupted by ""bad influences"".The parents decide that, with Christina no longer available, they will have their son choose one of his sisters as a new sexual partner. After fondling both sisters with his eyes closed, he chooses the elder. She is uncomfortable during their sex and afterward recites threatening dialogue from a Hollywood film to her brother.During a dance performance for the parents wedding anniversary, the younger daughter stops to rest, but the elder continues, performing the choreography from the film Flashdance, disturbing her parents. That night, she knocks out one of her dogteeth with a dumbbell and hides in the boot of her fathers car. The father discovers her tooth fragments and searches for her fruitlessly. He drives to work the next day; the car sits outside the factory, unattended."
Yogi Bear (film),Movie,2010,"Mayor R. Brown realizes that Franklin City is facing bankruptcy due to profligate spending on his part. Brown plots with his Chief of Staff to raise money for the town budget and his upcoming gubernatorial campaign by shutting down Jellystone Park and opening the land to logging. To save the park, park rangers Smith and Jones, with help from Smiths love interest, documentary filmmaker Rachel Johnson, hold a centennial festival and fireworks show in an attempt to sell season passes. To sabotage the effort, Brown promises Jones the position of head ranger if the funds are not raised. Two brown bears named Yogi and Boo-Boo Bear, who steal picnic baskets from visitors in Jellystone Park while the rangers attempt to hinder them, had promised Smith to stay out of sight during the festival, but Jones convinces them otherwise. The bears try to please the crowd with a waterskiing performance, but Yogi inadvertently sets his cape on fire, causing fireworks to be launched into the crowd, who flee in panic.After Jellystone is shut down, Smith is forced to stay in Evergreen Park - a small urban enclave choked with litter and pollution - but not before taking out his frustration on Yogi, telling him he isnt as smart as he thinks he is. Seeing that their home is in danger of being destroyed, Yogi and Boo-Boo travel to Evergreen Park where they and Smith figure out Browns plan. They all return to Jellystone with Rachel, where they learn that Boo-Boos pet turtle is a rare and endangered species known as a ""frog-mouthed"" turtle, meaning that according to law, the park cannot be destroyed if the turtle is living there.The Chief of Staff learns about the turtle and sends Jones to kidnap it. On the day that Brown is planning a press conference to begin the destruction of the park, Smith, Rachel and the bears rescue the turtle and try to bring it to the medias attention. Jones, learning that he had been deceived by Mayor Brown, has a change of heart and helps the team bring the turtle to the press conference. At the press conference, Rachel reveals that she had installed a hidden camera in Boo-Boos bow tie which had captured Brown admitting to his plan. Smith hooks up the camera to the jumbotron Brown is using for his press conference and shows the video, causing the crowds to grow hostile. Brown tries to claim there is no such thing as an endangered turtle, only for the turtle to appear on stage, revealing his true nature. After Brown and his staff are arrested for their crimes, Jellystone Park is reopened and becomes a great success with Smith reappointed as head ranger. He and Rachel admit their feelings for each other. After they kiss, they discover Yogi and Boo-Boo are back to stealing picnic baskets once again and chase them."
La Mission (film),Movie,2010,"Growing up in the Mission District of San Francisco, Che Rivera has always had to be tough to survive. He is a powerful man respected throughout the Mission barrio for his masculinity and his strength, as well as for his hobby building beautiful lowrider cars. A reformed inmate and recovering alcoholic, Che has worked hard to redeem his life and to do right by his only son, Jesse, whom he has raised on his own after the death of his wife. Che finds his personal values challenged when he discovers Jesse is gay."
Leap Year (2010 film),Movie,2010,"Successful real estate stager Anna Brady is frustrated that her cardiologist boyfriend Jeremy Sloane still has not proposed to her after four years. She decides to travel from Boston to Dublin, to propose to him on February 29, leap day, while he is there at a conference. Anna wishes to invoke an Irish tradition, Bachelors Day, that a man who is proposed to on leap day must accept the proposal.During the flight, a storm diverts the plane to Cardiff, Wales. Anna hires a boat to take her west to Cork. The severity of the storm forces her to be put ashore at a small seaside village called Dingle. Anna requests Declan OCallaghan, a surly Irish innkeeper, to taxi her to Dublin. At first he refuses, but after his tavern is threatened with foreclosure, he agrees to drive her for €500. Along the way, he mocks her belief in a leap year tradition of women proposing to men.A herd of cows blocks the road. Anna steps in cow dung while attempting to move the animals, and tries to clean her shoes while leaning on Declans car, which causes it to roll downhill into a stream. Continuing on foot, Anna flags down a van with three travellers who offer her a lift. Ignoring Declans warning, Anna hands them her luggage. They drive off without her. Anna and Declan make their way on foot to a roadside pub, where they discover the three thieves going through Annas luggage. Declan fights them and retrieves Annas bag.While waiting for a train, they ask each other what they would grab if their homes were on fire and they had only 60 seconds to flee. They lose track of time and miss the train. They are forced to stay at a bed & breakfast in Tipperary, where they pretend to be married so that their conservative hosts will allow them to stay. During dinner, when other couples kiss to show their love for each other, Anna and Declan are ""forced"" to kiss as well. This stirs feelings that neither had expected. They sleep in the same bed, but do not admit their new feelings for each other.While hitchhiking, Anna and Declan are caught in a hailstorm and take shelter in a nearby church, where a wedding is taking place. They are invited to the reception, where Anna gets drunk. Anna questions her own intentions with Jeremy and realizes that she has feelings for Declan. Just as the two are about to kiss, Anna vomits and passes out. The following day they arrive in Dublin. Declan reveals he was once engaged but his fiancée ran off to Dublin with his mothers claddagh ring and his best friend. Anna suggests that while in Dublin, he should ask for his mothers ring back. When they arrive at the hotel where Jeremy is staying, Jeremy surprises Anna by proposing to her right in the lobby. Seeing that Declan had already walked out of the hotel, she accepts Jeremys proposal.At their engagement party in Boston, Anna learns that Jeremy proposed because he thought it was the only way to appease the co-op board of the apartment building the couple wanted to move into. Dismayed, Anna pulls the fire alarm and waits, testing the 60-second concept she discussed with Declan earlier. Jeremy retrieves all of their electronic materials and neglects to check for Anna. Anna realizes there is nothing in the apartment that means anything to her, including Jeremy. Meanwhile, in Dublin, Declan retrieves his mothers claddagh ring from his ex-fiancée.Anna returns to the tavern in Dingle, where Declan has pulled together the balance he owed his property owner with the help of the community. She tells him she has broken off her engagement and proposes that they get together, and not make plans. Declan leaves. Thinking she has been rejected, Anna rushes outside to the edge of a cliff overlooking the sea. Declan emerges, revealing that he went out to retrieve his mothers claddagh ring. Declan says he wants to make plans with her, and proposes on the cliffside. Anna happily accepts. They drive away in Declans car, leaving their destination open to fate."
